northboundVersion,/apiName,headers,httpMethod_api,endpoint_api,jsonBody,southboundVersion,southboundMethod,southBoundVersion_sb,methodName,queryParams,microService,operation,backendVersion,endpoint_sb,responseUnwrapMethod,httpMethod_sb
v1,Reactivate Account,Virgin-Device-Id,POST,terminate/reactivate_account,"{ ""email"" : ""example"", ""number"" : ""example"" }",V1,reactivate_account,V1,reactivate_account,email,Activation.svc,ReactivateAccount,V1,Activation.svc/V1/ReactivateAccount,parsed_key_results,GET
v1,OCR Data,Session-Id;Virgin-Device-Id;Accept-Version,POST,user_identy/ocr_data,"{ ""id_number"" : ""example"", ""id_type"" : 123, ""last_name"" : ""example"", ""first_name"" : ""example"", ""second_name"" : ""example"", ""third_name"" : ""example"", ""dob"" : ""example"", ""expiry_date"" : ""example"", ""gender"" : 123, ""signature"" : ""example"", ""nationality_id"" : ""example"", ""nationality_name"" : ""example"", ""paci_number"" : ""example"", ""contact_number"" : ""example"" }",V1,ocr_data,V1,ocr_data,IDNumber;IDType;LastName;FirstName;SecondName;ThirdName;DateOfBirth;ExpiryDate;Gender;NationalityID;NationalityName;PACINumber;ContactNumber,UserIdentity,OCRData,V1,UserIdentity/V1/OCRData,parsed_key_result3,POST
v1,OCR Image,Session-Id;Virgin-Device-Id;Accept-Version,POST,user_identy/ocr_images,"{ ""front_image"" : ""example"", ""back_image"" : ""example"" }",V1,ocr_image,V1,ocr_image,,UserIdentity,OCRImages,V1,UserIdentity/V1/OCRImages,parsed_key_result3,POST
v1,OCR Signature,Session-Id;Virgin-Device-Id;Accept-Version,POST,user_identy/ocr_signature,"{ ""signature"" : ""example"" }",V1,ocr_signature,V1,ocr_signature,,UserIdentity,Signature,V1,UserIdentity/V1/Signature,parsed_key_result3,POST
v1,Check Eligability,Session-Id;Virgin-Device-Id;Accept-Version,GET,user_identy/check_eligability,signature=example,V1,check_eligability,V1,check_eligability,,UserIdentity,CheckEligiiblityStatus,V1,UserIdentity/V1/CheckEligiiblityStatus,parsed_key_result3,GET
v1,Get Governorates Areas,Session-Id;Virgin-Device-Id;Accept-Version,GET,user_identy/get_governorates_areas,signature=example,V1,getGovernoratesAreas,V1,getGovernoratesAreas,,UserIdentity,GetGovernoratesAreas,V1,UserIdentity/V1/GetGovernoratesAreas,parsed_key_result3,GET
v1,Submit Address,Session-Id;Virgin-Device-Id;Accept-Version,POST,user_identy/submit_address,"{ ""governorate_id"" : ""example"", ""area_id"" : ""example"", ""area"" : ""example"", ""block"" : ""example"", ""street"" : ""example"", ""building"" : ""example"", ""floor"" : ""example"", ""direction"" : ""example"" }",V1,submitAddress,V1,submitAddress,GovernorateID;AreaID;Area;Block;Street;Building;Floor;Direction,UserIdentity,SubmitAddress,V1,UserIdentity/V1/SubmitAddress,parsed_key_result3,POST
v1,Customer Image,Session-Id;Virgin-Device-Id;Accept-Version,POST,user_identy/upload_customer_image,"{ ""image_type"" : ""example"", ""image"" : ""example"" }",V1,ocr_customer_image,V1,ocr_customer_image,ImageType,UserIdentity,UploadCustomerImage,V1,UserIdentity/V1/UploadCustomerImage,parsed_key_result3,POST
v1,call,Session-Id,GET,webid/call,,V1,call,V1,call,,VideoVerification.svc,GetVideoVerificationQueueID,V1,VideoVerification.svc/V1/GetVideoVerificationQueueID,parsed_key_results,GET
v1,Get Plans And Pricing Table,Virgin-Lang,GET,cms/plans_and_pricing_table,,V1,get_plans_and_pricing_table,V1,get_plans_and_pricing_table,,WebSiteAPIs.svc,GetPlansAndPricingTable,V1,WebSiteAPIs.svc/V1/GetPlansAndPricingTable,parsed_key_results,GET
