southBoundVersion,methodName,queryParams,microService,operation,backendVersion,endpoint,responseUnwrapMethod,httpMethod
V7,post_saved_plans,selectedSubscriptionTypeIDs,SaveSelectedPlans.svc,SaveSelectedPlans,V4,SaveSelectedPlans.svc/V4/SaveSelectedPlans,parsed_data,GET
V7,recommended_plans,,GetPlans.svc,GetRecommendedPlans,V5,GetPlans.svc/V5/GetRecommendedPlans,,GET
V7,_current_plans,,GetPlans.svc,GetCurrentPlans,V5,GetPlans.svc/V5/GetCurrentPlans,,GET
V7,schedule_pause_plan,autoResumePlanDate,PlanPause.svc,SchedulePausePlan,V2,PlanPause.svc/V2/SchedulePausePlan,parsed_key_results,GET
V7,cancel_pause_plan,,PlanPause.svc,CancelSchedulePausePlan,V2,PlanPause.svc/V2/CancelSchedulePausePlan,parsed_key_results,GET
V7,resume_pause_plan,MSISDN;planIDs,PlanPause.svc,ResumePausedPlan,V2,PlanPause.svc/V2/ResumePausedPlan,parsed_key_results,GET
V7,validate_reward,promoCode,Promotion.svc,ValidatePromoCode,V4,Promotion.svc/V4/ValidatePromoCode,parsed_key_results,GET
V7,redeem_reward,promoCode,Promotion.svc,RedeemPromoCode,V4,Promotion.svc/V4/RedeemPromoCode,parsed_key_results,GET
V7,redeem,promoCode,Promotion.svc,ValidateAndReservePromoCode,V4,Promotion.svc/V4/ValidateAndReservePromoCode,parsed_key_results,GET
V7,profile,,Profile.svc,GetUserProfile,V2,Profile.svc/V2/GetUserProfile,parsed_user_data,GET
V7,login,,Login.svc,Login,V4,Login.svc/V4/Login,parsed_user_data,GET
V7,social_login,,Login.svc,SocialLogin,V4,Login.svc/V4/SocialLogin,parsed_user_data,GET
V7,send_verification_email_for_vip,,PasswordMGMT.svc,SendVerificationCodeForVVIPCustomer,V1,PasswordMGMT.svc/V1/SendVerificationCodeForVVIPCustomer,parsed_data,GET
V7,terminate_account,,Termination.svc,TerminationAccount,V2,Termination.svc/V2/TerminationAccount,parsed_key_results,GET
V7,terminate_reason,email;reason,Termination.svc,TerminationReason,V2,Termination.svc/V2/TerminationReason,parsed_key_results,GET
V7,schedule_account_termination,,Termination.svc,ScheduleAccountTermination,V2,Termination.svc/V2/ScheduleAccountTermination,parsed_key_results,GET
V7,cancel,,Termination.svc,CancelTermination,V2,Termination.svc/V2/CancelTermination,parsed_key_results,GET
V7,reactivate_account,email,Activation.svc,ReactivateAccount,V1,Activation.svc/V1/ReactivateAccount,parsed_key_results,GET
V8,recharge_by_voucher,MSISDN;voucherCode,RechargeByVoucher.svc,RechargeByVoucher,V2,RechargeByVoucher.svc/V2/RechargeByVoucher,parsed_key_result3,POST
V8,current_balance,MSISDN,GetCurrentBalance.svc,UserBalance,V3,GetCurrentBalance.svc/V3/UserBalance,parsed_key_results,GET
